ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
muss1246,Mussau (BJ),,,,muss1246,emi,mus
naba1256,Nabak (BJ),,,,naba1256,naf,nab
yale1246,Nagatman (BJ),,,,yale1246,nce,nag
tete1251,Nahuatl (Tetelcingo) (BJ),,,,tete1251,nhg,nht
sout2994,Nambikuára (BJ),,,,sout2994,nab,nmb
nava1243,Navajo (BJ),,,,nava1243,nav,nav
sout2808,Ndebele (in South Africa) (BJ),,,,sout2808,nbl,ndb
djee1236,Ndjébbana (BJ),,,,djee1236,djj,ndj
nepa1252-2,Nepali (BJ),,,,nepa1252,nep,nep
ngal1293,Ngalakan (BJ),,,,ngal1293,nig,ngl
wang1291,Ngiyambaa (BJ),,,,wang1291,wyb,ngi
nhandabj,Nhanda (BJ),,,,,,nha
nias1242,Nias (BJ),,,,nias1242,nia,nia
nisg1240,Nisgha (BJ),,,,nisg1240,ncg,nsg
niue1239,Niuean (BJ),,,,niue1239,niu,niu
gily1242,Nivkh (BJ),,,,gily1242,niv,niv
chig1238,Nkore-Kiga (BJ),,,,chig1238,cgg,nko
nuaulubj,Nuaulu (BJ),,,,,,nua
kenu1236,Nubian (Dongolese) (BJ),,,,kenu1236,kzh,nbd
kenu1236-2,Nubian (Kunuz) (BJ),,,,kenu1236,kzh,nku
noot1239,Nuuchahnulth (BJ),,,,noot1239,noo,nuu
toho1245,O'odham (BJ),,,,toho1245,ood,ood
obol1243,Obolo (BJ),,,,obol1243,ann,obo
east2652,Oromo (Harar) (BJ),,,,east2652,hae,orh
orya1242,Orya (BJ),,,,orya1242,ury,ory
mezq1235,Otomí (Mezquital) (BJ),,,,mezq1235,ote,otm
paam1238,Paamese (BJ),,,,paam1238,pma,pms
paez1247,Páez (BJ),,,,paez1247,pbb,pae
dumb1241,Paita (BJ),,,,dumb1241,duf,pta
paiw1248,Paiwan (BJ),,,,paiw1248,pwn,pai
pala1344,Palauan (BJ),,,,pala1344,pau,pal
pany1241,Panyjima (BJ),,,,pany1241,pnw,pny
male1292-2,Passamaquoddy-Maliseet (BJ),,,,male1292,pqm,psm
patt1248,Pattani (BJ),,,,patt1248,lae,ptt
pero1241,Pero (BJ),,,,pero1241,pip,per
pila1245,Pilagá (BJ),,,,pila1245,plg,pga
pira1253,Pirahã (BJ),,,,pira1253,myp,prh
pitj1243,Pitjantjatjara (BJ),,,,pitj1243,pjt,pit
pitt1247,Pitta Pitta (BJ),,,,pitt1247,pit,ppi
pure1242,Purépecha (BJ),,,,pure1242,tsz,pur
afar1241,Qafar (BJ),,,,afar1241,aar,qaf
huam1248,Quechua (Huallaga) (BJ),,,,huam1248,qvh,qhu
rama1270,Rama (BJ),,,,rama1270,rma,ram
rapa1244,Rapanui (BJ),,,,rapa1244,rap,rap
rawa1265,Rawang (BJ),,,,rawa1265,raw,raw
tani1257,Retuarã (BJ),,,,tani1257,tnc,ret
ronn1241,Ron (BJ),,,,ronn1241,cla,ron
nort2671,Saami (Northern) (BJ),,,,nort2671,sme,sno
salt1242,Salt-Yui (BJ),,,,salt1242,sll,syu
sang1328,Sango (BJ),,,,sang1328,sag,san
sang1333,Sangu (BJ),,,,sang1333,snq,sgu
sanu1240,Sanuma (BJ),,,,sanu1240,xsu,snm
sapu1248,Sapuan (BJ),,,,sapu1248,spu,sap
seda1262,Sedang (BJ),,,,seda1262,sed,sed
