Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
,"Wiering, Elisabeth & Marinus Wiering",,The Doyayo Language,,Dallas,,"Wiering, Elisabeth & Marinus Wiering. 1994. The Doyayo Language. Publications in Linguistics, 121. Dallas: Summer Institute of Linguistics and the University of Texas at Arlington.",,,,,University of Texas,790,,,,1994,
Yunnan Bai,"Wiersma, Grace",,The Sino-Tibetan Languages,,London,"Thurgood, Graham & Randy J. LaPolla","Wiersma, Grace. 2003. Yunnan Bai. in: Thurgood, Graham & Randy J. LaPolla (eds.). The Sino-Tibetan Languages. London: Routledge. pp. 651-673.",,,,651-673,Routledge,791,,,,2003,
,"Wilkins, David P.",phdthesis,Mparntwe Arrernte (Aranda),,Canberra,,"Wilkins, David P. 1989. Mparntwe Arrernte (Aranda). Studies in the Structure and Semantics of Grammar. Canberra: Australian National University.",,,,,Australian National University,792,,,,1989,
,"Willett, Thomas L.",,A Reference Grammar of Southeastern Tepehuan,,Arlington,,"Willett, Thomas L. 1991. A Reference Grammar of Southeastern Tepehuan. Arlington: Summer Institute of Linguistics and University of Texas at Arlington.",,,,,University of Texas,793,,,,1991,
,"Wilson, Darryl",,Suena Grammar,,"Ukarumpa, Papua New Guinea",,"Wilson, Darryl. 1974. Suena Grammar. Workpapers in Papua New Guinea Languages, 8. Ukarumpa: Summer Institute of Linguistics.",,,,,Summer Institute of Linguistics,794,,,,1974,
,"Wolff, Ekkehard",,A Grammar of the Lamang Language,,Glückstadt,,"Wolff, Ekkehard. 1983. A Grammar of the Lamang Language. Glückstadt: J.J. Augustin.",,,,,J.J. Augustin,795,,,,1983,
Maithili,"Yadav, Ramawatar",,The Indo-Aryan Languages,,London,"Cardona, George & Dhanesh Jain","Yadav, Ramawatar. 2003. Maithili. in: Cardona, George & Dhanesh Jain (eds.). The Indo-Aryan Languages. London: Routledge. pp. 477-497.",,,,477-497,Routledge,796,,,,2003,
,"Yallop, Colin",,Alyawarra: An Aboriginal Language of Central Australia,,Canberra,,"Yallop, Colin. 1977. Alyawarra: An Aboriginal Language of Central Australia. Canberra: Australian Institute of Aboriginal Studies.",,,,,Australian Institute of Aboriginal Studies,797,,,,1977,
,"Zamponi, Raoul",,Maipure,,Munich,,"Zamponi, Raoul. 2003a. Maipure. Munich: Lincom Europa.",,,,,Lincom Europa,798,,,,2003,a
,"Zhirkov, Lev I.",,,,,,"Zhirkov, Lev I. 1955. Lakskij jazyk: fonetika i morfologija. Moscow: Izdatel'stvo Akademii Nauk SSSR.",,,,,,799,,,,1955,
,"de Vries, Lourens",,"Forms and functions in Kombai, an Awyu language of Irian Jaya",,Canberra,,"de Vries, Lourens. 1993. Forms and Functions in Kombai, an Awyu Language of Irian Jaya. Pacific Linguistics, Series B-108. Canberra: Australian National University.",,,,,Australian National University,800,,,,1993,
,"van Enk, Gerrit J., & Lourens de Vries",,The Korowai of Irian Jaya: Their Language in its Cultural Context,,Oxford,,"van Enk, Gerrit J., & Lourens de Vries. 1997. The Korowai of Irian Jaya: Their Language in its Cultural Context. Oxford: Oxford University Press.",,,,,Oxford University Press,801,,,,1997,
,"van Klinken, Catharina Lumien",,"A Grammar of the Fehan Dialect of Tetun, an Austronesian Language of West Timor",,Canberra,,"van Klinken, Catharina Lumien. 1999. A Grammar of the Fehan Dialect of Tetun, an Austronesian Language of West Timor. Pacific Linguistics, Series C-155. Canberra: Australian National University.",,,,,Australian National University,802,,,,1999,
,"van Staden, Miriam",phdthesis,Tidore: A Linguistic Description of a Language of the North Moluccas,,Leiden,,"van Staden, Miriam. 2000. Tidore: A Linguistic Description of a Language of the North Moluccas. Leiden: University of Leiden.",,,,,University of Leiden,803,,,,2000,
,"van den Berg, Helma",,A Grammar of Hunzib,,Munich,,"van den Berg, Helma. 1995. A Grammar of Hunzib. Lincom Studies in Caucasian Linguistics, 1. Munich: Lincom Europa.",,,,,Lincom Europa,804,,,,1995,
,"van den Berg, Helma",book,Dargi folktales: Oral stories from the Caucasus with an introduction to Dargi grammar,,Leiden,,"van den Berg, Helma. 2001. Dargi folktales: Oral stories from the Caucasus with an introduction to Dargi grammar. Leiden: Research School of Asian, African and Amerindian Studies.",,,ch09vandenberg2001,,"Research School of Asian, African and Amerindian Studies",805,,,,2001,
Oblique objects in Halkomelem,"Hukari, Thomas E.",inproceedings,,,,,,,,ch19Hukari1979,158-172,,806,,,,1979,
Ottawa Word Order,"Rhodes, Richard Alan",inproceedings,,,,,,,,ch21rhodes1991a,,,807,,,,1991,
Ottawa Relative Clauses,"Rhodes, Richard Alan",inproceedings,,,,,,,,ch21rhodes1996,,,808,,,,1996,
On the Syntax of Ottawa Content Questions,"Rhodes, Richard Alan",inproceedings,,,,,,,,ch21rhodes1998b,,,809,,,,1998,
The Syntax and Pragmatics of Ojibwe mii,"Rhodes, Richard Alan",inproceedings,,,,,,,,ch21rhodes1998a,286-294,,810,,,,1998,
Two Applicatives in Mapudungun,"Golluscio, Lucía A.",inproceedings,,,,,,,,ch24golluscio2000,,,811,,,,2000,
Discriminating Verb Meanings: The Case of Transfer Verbs,"Croft, William & Jóhanna Barðdal & Willem Hollmann & Maike Nielsen & Violeta Sotirova & Chiaki Taoka",inproceedings,,,Reading,,"Croft, William & Jóhanna Barðdal & Willem Hollmann & Maike Nielsen & Violeta Sotirova & Chiaki Taoka. 2001. Discriminating verb meanings: The case of transfer verbs. Handout, LAGB Autumn Meeting, Reading.",,,ch001croftetal2001,,,812,,,,2001,
Are there 'Indirect Objects' in African Languages?,"Creissels, Denis",inproceedings,,,,,,,,ch05creissels2003,,,813,,,,2003,
Non-medial Incorporation in Ojibwe,"Rhodes, Richard Alan",inproceedings,,,,,,,,ch21rhodes2003,,,814,,,,2003,
Halkomelem directional applicatives,"Gerdts, Donna B.",inproceedings,Papers for the 39th International Conference on Salish and Neighbouring Languages,,,,,,,ch19Gerdts2004b,189-199,,815,,,,2004,b
Linear Order as a basic Morphosyntactic Factor in Non-Khoe Khoisan,"Güldemann, Tom",inproceedings,,,,,,,,ch01gueldemann2004,,,816,,,,2004,
Towards a typology of ditransitive constructions,"Comrie, Bernard",inproceedings,,,Padang,,,,,ch01comrie2005,,,817,,,,2005,
Argument realization in Halkomelem: A study in verb classification,"Gerdts, Donna B.",inproceedings,Proceedings of the 10th Workshop on Structure and Constituency in Languages of the Americas,,,,,,,ch19Gerdts2006,61-81,,818,,,,2006,
Ditransitive alignment in African languages,"Creissels, Denis",inproceedings,,,Addis Ababa,,,,,ch01creissels2006,,,819,,,,2006,
Back to normal? Ditransitives in the Tuu family,"Güldemann, Tom",inproceedings,,,,,,,,ch001gueldemann2007,,,822,,,,2007,
Combinatorial properties of Salish applicatives,"Gerdts, Donna B. & Kaoru Kiyosawa",inproceedings,,,,,,,,ch19GerdtsKiyosawa2007,176-219,,823,,,,2007,
Phrasal noun incorporation in Ojibwe,"Lochbihler, Bethany & Eric Mathieu",inproceedings,,,,,,,,ch21mathieulochbihler,,University of Ottawa,825,,,,2007,
A sketch of Bambara argument structure,"Creissels, Denis",inproceedings,,,,,,,,ch01creissels2007,,,826,,,,2007,
Why ditransitives?,"Comrie, Bernard",inproceedings,,,,,,,,ch01comrie2007,,,827,,,,2007,
The Applicatives of Mapudungun,"Zúñiga, Fernando",inproceedings,,,,,,,,ch24zuniga2009,,,828,,,,2009,
,"Abraham, Roy Clive",book,Dictionary of Modern Yoruba,,London,,,,,ch03abraham1962,,University of London Press,830,,,,1962,
Bare and prepositional differential case marking: The exotic case of German (and Icelandic) among all of Germanic,"Abraham, Werner",incollection,"Case, Valency and Transitivity",,Amsterdam,"Kulikov, Leonid & Andrej Malchukov & Peter de Swart",,,,ch01abraham2006,115-145,John Benjamins,831,,,,2006,
,"Adelaar, Willem F. H. & Pieter Muysken",book,The Languages of the Andes,,Cambridge,,"Adelaar, Willem F. H. & Pieter Muysken. 2004. The Languages of the Andes. Cambridge: Cambridge University Press.",,,ch24adelaarmuysken2004,,Cambridge University Press,832,,,,2004,
On the absence of superiority and weak crossover effects in Yoruba,"Adesola, Oluseye",article,,,,,,2,Linguistic Inquiry,ch03adesola2006,309-318,,833,,,37,2006,
Serial verb constructions in typological perspective,"Aikhenvald, Alexandra Y.",incollection,Serial Verb Constructions: A Cross-Linguistic Typology,,New York,"Aikhenvald, Alexandra Y. & R. M. W. Dixon",,,,ch03aikhenvald2006,1-87,Oxford University Press,834,,,,2006,
,"Ajani, Timothy T.",book,Aspect in Yoruba and Nigerian English,,Michigan,,,,,ch03ajani2001,,ProQuest Information and Learning,836,,,,2001,
The tonal phonology of Yoruba clitics,"Akinlabi, Akinbiyi & Liberman, Mark",incollection,"Clitics in Phonology, Morphology and Syntax",,Amsterdam,"Gerlach, Birgit & Janet Grijzenhout",,,,ch03akinlabiliberman2000,31-62,John Benjamins,837,,,,2000,
,"Alekseev, Mikhail E.",book,Sravnitel'no-istori\vceskaja morfologija naxsko-dagestanskix jazykov,,Moscow,,,,,ch09alekseev2003,,Academia,838,,,,2003,
Complex predication and the coverb construction,"Amberber, Mengistu & Brett Baker & Mark Harvey",incollection,"Language Description, History and Development: Linguistic Indulgence in Memory of Terry Crowley",,Amsterdam,"Siegel, Jeff & John D. Lynch & Diana Eades",,,,ch17amberberbakerharvey2007,209-219,John Benjamins,841,,,,2007,
Forms of secondary predication in serializing languages,"Ameka, Felix K.",incollection,Secondary Predication and Adverbial Modification: The Typology of Depictives,,Oxford,"Himmelmann, Nikolaus P. & Eva Schultze-Berndt",,,,ch04ameka2005,355-378,Oxford University Press,842,,,,2005,
Ewe serial verb constructions in their grammatical context,"Ameka, Felix K.",incollection,Serial Verb Constructions: A Cross-Linguistic Typology,,Oxford,"Aikhenvald, Alexandra & R. M. W. Dixon",,,,ch04ameka2006,124-143,Oxford University Press,843,,,,2006,
Wolaitta,"Amha, Azeb",incollection,Coding Participant Marking: Construction Types in Twelve African Languages,,Amsterdam,"Dimmendaal, Gerrit Jan",,,,ch06amha2009,355-384,John Benjamins,844,,,,2009,
The 'perfect' as a universal and as a language-particular category,"Anderson, Lloyd B.",incollection,Tense-Aspect: Between Semantics and Pragmatics,,Amsterdam,"Hopper, Paul J.",,,,ch001anderson1982,227-264,John Benjamins,845,,,,1982,
The inverse system in Mapudungun and other languages,"Arnold, Jennifer E.",article,,,,,,,Revista de Lingüística Teórica y Aplicada,ch24arnold1996,9-47,,847,,,34,1996,
Ditransitive Constructions in Yorùbá,"Atoyebi, Joseph & Martin Haspelmath & Andrej Malchukov",incollection,Studies in Ditransitive Constructions: A Comparative Handbook,3,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch02atoyebi2010,145 - 165,Mouton de Gruyter,850,,,,2010,
,"Authier, Gilles",book,Grammaire kryz,,Paris,,,,,ch09authier2009,,Peeters,851,,,,2009,
The origin of the two genitive cases and inalienability split in Budukh,"Authier, Gilles",misc,,,,,,,,ch09authierinprep,,,852,,,,,
,"Avrorin, V. A.",book,Grammatika nanajskogo jazyka,,Moskva/Leningrad,,,,,ch10avrorin1959,,Nauka,853,,,1,1959,
,"Avrorin, V. A.",book,Grammatika nanajskogo jazyka,,Moskva/Leningrad,,,,,ch10avrorin1961,,Nauka,854,,,2,1961,
,"Avrorin, V. A.",book,Sintaksičeskie issledovanija po nanajskomu jazyku,,Leningrad,,,,,ch10avrorin1981,,Nauka,855,,,,1981,
,"Avrorin, V. A.",book,Grammatika man'čžurskogo pis'mennogo jazyka,,St. Petersburg,,,,,ch10avrorin2000,,Nauka,856,,,,2000,
Object position in Yorùbá,"Awóyalé, James Oladuntoye Yíwolá",incollection,Object Position in Benue-Kwa: Papers from a Workshop at Leiden University,,The Hague,"Déchaine, Rose-Marie & Victor Manfredi","Awóyalé, Yíwolá. 1997. Object Position in Yorùbá. in: Déchaine, Rose-Marie & Victor Manfredi (eds.). Object Position in Benue-Kwa: Papers from a workshop at Leiden University, June 1994. The Hague: Holland Academic Graphics. pp. 7-30.",,,ch03awoyale1997,7-30,Holland Academic Graphics,858,,,,1997,
Doing the split-S in Klon,"Baird, Louise",article,,,,,,,Linguistics in the Netherlands,ch14baird2005,1-12,,859,,,,2005,
,"Baird, Louise",book,"A Grammar of Klon: A non-Austronesian language of Alor, Indonesia",,Canberra,,,,,ch14baird2008,,Pacific Linguistics,860,,,,2008,
,"Baker, Mark C.",book,The Polysynthesis Parameter,,New York,,,,,ch001baker1996,,Oxford University Press,861,,,,1996,
Two types of syntactic noun incorporation: Noun incorporation in Mapudungun,"Baker, Mark C. & Roberto Aranovich & Lucía A. Golluscio",article,,,,,,1,Language,ch24bakeraranovichgolluscio2005,138-176,,863,,,81,2005,
,"Bamgbose, Ayo",book,A Grammar of Yoruba,,London,,,,,ch03bamgbose1966,,Cambridge University Press,865,,,,1966,
Issues in the analysis of serial verb constructions,"Bamgbose, Ayo",article,,,,,,2,The Journal of West African Languages,ch03bamgbose1982,3-21,,866,,,XII,1982,
Yoruba Language: The Diaspora as a challenge to the Homeland,"Bamgbose, Ayo",misc,,,São Paulo,,,,,ch03bamgbose2008,,Plenary paper presented at the Special World Congress of African Linguistics,867,,,,2008,
,"Bassène, Alain-Christian",book,"Morphosyntaxe du Jóola Banjal, Langue Atlantique du Sénégal",,Cologne,,,,,ch05bassene2007,,Köppe,869,,,,2007,
K voprosu o porjadke slov v ketskom predloženii,"Belimov, È.",article,,,,,,,Jazyki i toponimika,ch11belimov1977,71-79,,871,,,5,1977,
,"Belimov, È.",book,"Ketskij sintaksis. Situacija, propozicija, predloženie [The syntax of Ket: Situation, proposition, sentence.]",,Novosibirsk,,,,,ch11belimov1991,,Izdadel'stvo Novosibirskogo universiteta,872,,,,1991,
,"Benzing, Johannes",book,Die tungusischen Sprachen: Versuch einer vergleichenden Grammatik,,Wiesbaden,,,,,ch10benzing1955,,Steiner,873,,,,1955,
A Grammatical Outline of the Eskimo Language of West Greenland,"Bergsland, Knut",unpublished,,,Oslo,,,,,ch18bergsland1955,,,874,,,,1955,
On the syntax of agreement in Tibeto-Burman,"Bickel, Balthasar",article,,,,,,3,Studies in Language,ch17bickel2000,583-610,,875,,,24,2000,
Referential density in discourse and syntactic typology,"Bickel, Balthasar",article,,,,,,,Language,ch12Bickel2003Referential,708-736,,877,,,79,2003,
Hidden syntax in Belhare,"Bickel, Balthasar",incollection,Himalayan languages: past and present,,Berlin,"Saxena, Anju",,,,ch12Bickel2004Hidden,141-190,Mouton de Gruyter,878,,,,2004,
Clause-level vs. predicate-level linking,"Bickel, Balthasar",incollection,"Semantic role universals and argument linking: theoretical, typological and psycholinguistic perspectives",,Berlin,"Bornkessel, ina & Matthias Schlesewsky & Bernard Comrie & Angela D. Friederici",,,,ch12Bickel2006Clause-level,155-190,Mouton de Gruyter,879,,,,2006,
Grammatical relations typology,"Bickel, Balthasar",incollection,The Oxford Handbook of Language Typology,,Oxford,"Song, Jae Jung",,,,ch12Bickel2010Grammatical,399-444,Oxford University Press,880,,,,2010,
Free prefix ordering in Chintang,"Bickel, Balthasar & Goma Banjade & Martin Gaenszle & Elena Lieven & Netra P. Paudyal & Ichchha P. Rai & Manoj Rai & Novel Kishore Rai & Sabine Stoll",article,,,,,,,Language,ch12Bickeletal2007,43-73,,881,,,83,2007,
Inflectional morphology,"Bickel, Balthasar & Johanna Nichols",incollection,Language Typology and Syntactic Description,,Cambridge,"Shopen, Timothy",,,,ch23bickelnichols2007,169-240,Cambridge University Press,884,,,III: Grammatical Categories and the Lexicon,2007,
Case marking and alignment,"Bickel, Balthasar & Johanna Nichols",incollection,The Handbook of Case,,Oxford,"Malchukov, Andrej & Andrew Spencer",,,,ch12Bickeletal2009Case-marking,304-321,Oxford University Press,886,,,,2009,
The syntax of three-argument verbs in Chintang and Belhare (Southeastern Kiranti),"Bickel, Balthasar & Manoj Rai & Netra P. Paudyal & Goma Banjade & Toya N. Bhatta & Martin Gaenszle & Elena Lieven & Ichchha Purna Rai & Novel Kishore Rai & Sabine Stoll",incollection,Studies in Ditransitive Constructions: A Comparative Handbook,12,Berlin,"Mulchokov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch001bickeletalTV,382-408,Mouton de Gruyter,887,,,,2010,
Verb serialization and converbs: Differences and similarities,"Bisang, Walter",incollection,"Converbs in Cross-linguistic Perspective. Structure and Meaning of Adverbial Forms: Adverbial Participles, Gerunds",,Berlin,"Haspelmath, Martin & Ekkehard König",,,,ch13bisang1995,137-188,Mouton de Gruyter,888,,,,1995,
Areal typology and grammaticalization: Processes of grammaticalization based on nouns and verbs in East and mainland South East Asian languages,"Bisang, Walter",article,,,,,,3,Studies in Language,ch03bisang1996,519-597,,889,,,20,1996,
"Perfect and beyond, from pragmatic relevance to Perfect: The Chinese sentence final particle \textitle and Yoruba \textitti","Bisang, Walter & Remi Sonaiya",article,,,,,,2,Sprachtypologie und Universalienforschung,ch03bisangsonaiya1997,143-158,,891,,,50,1997,
,"Blake, Barry J.",book,Case,,Cambridge,,,,,ch01blake1994,,Cambridge University Press,893,,,,1994,
,"Bode, Oduntan Gbolahan",book,Yoruba Clause Structure,,Michigan,,,,,ch03bode2000,,Bell and Howell Information and Learning,901,,,,2000,
,"Bodomo, Adams B.",book,The Structure of Dagaare,,Stanford,,,,,ch001bodomo1997,,CSLI Publications,902,,,,1997,
Object diffuseness in Maltese,"Borg, Albert J. & Bernard Comrie",incollection,Objects: Towards a Theory of Grammatical Relations,,London,"Plank, Frans",,,,ch01borgcomrie1984,109-126,Academic Press,904,,,,1984,
,"Bossong, Georg",book,Differenzielle Objektmarkierung in den neuiranischen Sprachen,,Tübingen,,,,,ch001bossong1985,,Narr,905,,,,1985,
Taba as a split-O language: Applicative in a split-S system,"Bowden, John",misc,,,,,,,,ch13bowden2000,,http://rspas.anu.edu.au/linguistics/projects/wp/bowden2.html,906,,http://rspas.anu.edu.au/linguistics/projects/WP/Bowden2.html,2,2000,
,"Bowden, John",book,Taba: Description of a South Halmahera Language,,Canberra,,,,,ch01bowden2001,,South Pacific Linguistics,907,,,,2001,
Predicting the dative alternation,"Bresnan, Joan & Anna Cueni & Tatiana Nikitina & R. Harald Baayen",incollection,Cognitive Foundations of Interpretation,,Amsterdam,"Boume, G. & I. Krämer & J. Zwarts",,,,ch001bresnanetal2007,69-94,Royal Netherlands Academy of Science,908,,,,2007,
,"Bromber, Katrin & Birgit Smieja (eds.)",book,Globalisation and African languages: Risks and benefits,,Berlin,,,,,ch01brombersmieja2004,,Mouton de Gruyter,910,,,,2004,
Semantic aspects of some Waris predication,"Brown, Robert",incollection,Syntax and Semantics in Papua New Guinea Languages,,Ukarumpa,"Franklin, Karl J.",,,,ch15brown1981,93-124,Summer Institute of Linguistics,911,,,,1981,
Opisania Morfologi\vceskoj Struktury Finitnoj Glagol'noj Slovoformy Ketskogo Jazyka s Ispol'zovaniem Metodiki Porjadkovogo \vClenenija [A Description of the Morphological Structure of the Ket Finite Verb Form Using the Morpheme Ordering Method],"Butorin, S.",misc,,,Novosibirsk: Novosibirsk State University,,,,,ch11butorin1995,,Unpublished Candidate Degree Dissertation,915,,,,1995,
O pozicionnyx padežax v ketskom jazyke,"Butorin, S.",incollection,Problemy dokumentacii ischezajušchix jazykov i kul'tur,,Ufa & Tomsk,,,,,ch11butorin1999b,37-44,Vostochnyj Universitet,916,,,1,1999,
Zalogovost' v ketskom jazyke i problema razgrani\vcenija slovoobrazovanija i slovoizmenenija,"Butorin, S.",article,,,,,,,Jazyki korennyx narodov Sibiri,ch11butorin1999a,,,917,,,5,1999,
