Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Generalized Person-Case Constraint: A case for a syntax-driven inflectional morphology,"Albizu, Pablo",incollection,Theoretical issues on the Morphology-Syntax Interface,,San Sebastian,"Mendikoetxea, Amaya & Myriam Uribe-Etxebarria",,,,,1-34,ASJU Gehigarriak XL,96,,,,1997,
"Verb agreement, possessor ascension, and mutistratal representation in Southern Tiwa","Allen, Barbara J. & Donald G. Frantz & Donna B. Gardiner & David M. Perlmutter",incollection,Studies in Relational Grammar,,Chicago,"Postal, Paul M. & D. Joseph Brian",,,,,321-383,The University of Chicago Press,97,,,3,1990,
Body-part nouns as a source of reflexives: towards a grammaticalization account of Georgian tav-‘head’,"Amiridze, Nino & Torsten Leuschner",article,,,,,,3,Sprachtypologie und Universalienforschung,,259-276,,98,,,55,2002,
Quirky agreement,"Boeckx, Cedric",article,,,,,,,Studia Linguistica,,354-380,,99,,,54,2000,
A slot-filling constraint in the Georgian verb and its syntactic corollary,"Boeder, Winfried",article,,,,,,34,Sprachtypologie und Universalienforschung,,241-254,,100,,,52,1999,
Feature structure of Romance clitics,"Bonet, Eulalia",article,,,,,,,Natural Language and Linguistic Theory,,607-647,,101,,,13,1995,
,"Borg, Albert J. & Marie Azzopardi-Alexander",,Maltese,,London,,"Borg, Albert J. & Marie Azzopardi-Alexander. 1997. Maltese. Routledge Descriptive Grammars. London: Routledge.",,,,,Routledge,102,,,,1997,
Optimality and functionality: Objections and refutations,"Bresnan, Joan & Judith L. Aissen",article,,,,,,,Natural Language and Linguistic Theory,,81-95,,103,,,20,2002,
Soft constraints mirror hard constraints: voice and person in English and Lummi,"Bresnan, Joan & Shipra Dingare & Christopher D. Manning",inproceedings,"Proceedings of the LFG 01 Conference, The University of Hong Kong",,,"Butt, Miriam & Tracy Holloway King",,,,,13-32,CSLI: Online Publications (available: http://cslipublications.stanford.edu/LFG/6/lfg01.pdf ),104,,,,2001,
On the gradience of the dative alternation,"Bresnan, Joan & Tatiana Nikitina",book,,,,,"Bresnan, Joan & Tatiana Nikitina. 2003. On the gradience of the dative alternation. Ms., Stanford University.",,,,,,105,,,,2003,
A lexical treatment of Cairene Arabic object clitics,"Broselow, Ellen",incollection,"Current approaches to African linguistics, Vol. 1",,Dordrecht,"Dihoff, Ivan R.",,,,,279-287,Foris,106,,,,1983,
,"Brown, Nicholas J.",,"Russian learners' dictionary: 10,000 words in frequency order",,London,,"Brown, Nicholas J. 1996. Russian learners' dictionary: 10,000 words in frequency order. London: Routledge.",,,,,Routledge,107,,,,1996,
,"Buchholz, Oda & Wilfried Fiedler",,Albanische Grammatik,,Leipzig,,"Buchholz, Oda & Wilfried Fiedler. 1987. Albanische Grammatik. Leipzig: Enzyklopädie.",,,,,Enzyklopädie,108,,,,1987,
,"Bugenhagen, Robert D.",,A Grammar of Mangap-Mbula: An Austronesian language of Papua New Guinea,,Canberra,,"Bugenhagen, Robert D. 1995. A Grammar of Mangap-Mbula: An Austronesian language of Papua New Guinea. Pacific linguistics, C-101. Canberra. Australian National University.",,,,,Australian National University,109,,,,1995,
The diachronic dimension in explanation,"Bybee, Joan L.",incollection,Explaining language universals,,Oxford,"Hawkins, John A.","Bybee, Joan L. 1988. The diachronic dimension in explanation. in: Hawkins, John A. (ed.). 1990. Explaining language universals. Oxford: Blackwell. 350-379.",,,,350-379,Blackwell.,110,,,,1988,
Sequentiality as the basis of constituent structure,"Bybee, Joan L.",incollection,The evolution of language out of pre-language,,Amsterdam,"Givón, Talmy & Bertram F. Malle",,,,,109-134,John Benjamins,111,,,,2002,
,"Bybee, Joan L. & Paul Hopper",book,Frequency and the Emergence of Linguistic Structure,,Amsterdam,"Bybee, Joan L. & Paul Hopper",,,,,,John Benjamins,112,,,,2001,
,"Bybee, Joan L. & William Pagliuca & Revere D. Perkins",book,"The Evolution of Grammar: Tense, Aspect, and Modality in the Languages of the World",,Chicago,,,,,,,The University of Chicago Press,113,,,,1994,
The effect of usage on degrees of constituency: the reduction of don’t in English,"Bybee, Joan L. & Joanne Scheibman",article,,,,,,4,Linguistics,,575-596,,114,,,37,1999,
